epoch,Long_lifetime_loss,Long_lifetime_mae,Ratio_loss,Ratio_mae,Short_lifetime_loss,Short_lifetime_mae,loss,val_Long_lifetime_loss,val_Long_lifetime_mae,val_Ratio_loss,val_Ratio_mae,val_Short_lifetime_loss,val_Short_lifetime_mae,val_loss
0,0.35715773701667786,0.35574474930763245,0.4146580696105957,0.34039658308029175,0.18368586897850037,0.25498801469802856,0.9555016756057739,0.5906094908714294,0.4667762517929077,0.1236296221613884,0.1953616589307785,0.06458084285259247,0.149332657456398,0.7788200378417969
1,0.28056564927101135,0.27327048778533936,0.20915666222572327,0.2946607172489166,0.13045106828212738,0.24589721858501434,0.6201733946800232,0.5907487273216248,0.46683311462402344,0.12128744274377823,0.19201043248176575,0.06458084285259247,0.149332657456398,0.7766169905662537
2,0.22333626449108124,0.2361152470111847,0.15321780741214752,0.24719743430614471,0.1053289845585823,0.22260843217372894,0.48188313841819763,0.5907487273216248,0.46683311462402344,0.12231316417455673,0.1883632391691208,0.06458084285259247,0.149332657456398,0.7776426672935486
3,0.17691601812839508,0.20506469905376434,0.11937997490167618,0.21315313875675201,0.08770506083965302,0.20089995861053467,0.3840010464191437,0.5907487273216248,0.46683311462402344,0.12491830438375473,0.1890312284231186,0.06458084285259247,0.149332657456398,0.7802478671073914
4,0.1396845132112503,0.17907191812992096,0.09737933427095413,0.1839773803949356,0.07474887371063232,0.18070191144943237,0.31181272864341736,0.5907487273216248,0.46683311462402344,0.12473908811807632,0.1874556988477707,0.06458084285259247,0.149332657456398,0.7800686359405518
5,0.11434115469455719,0.16059306263923645,0.08118604123592377,0.1638203263282776,0.06506709009408951,0.16176480054855347,0.2605942487716675,0.5907487273216248,0.46683311462402344,0.12390201538801193,0.1919708400964737,0.06458084285259247,0.149332657456398,0.7792314887046814
6,0.09471838921308517,0.1456844061613083,0.06936033815145493,0.1448715329170227,0.05770634487271309,0.14846548438072205,0.2217850685119629,0.5907487273216248,0.46683311462402344,0.12174196541309357,0.19487632811069489,0.06458084285259247,0.149332657456398,0.7770715355873108
7,0.07929980754852295,0.1332123726606369,0.05994349718093872,0.1306077241897583,0.05203114449977875,0.13603103160858154,0.19127444922924042,0.5907487273216248,0.46683311462402344,0.11798078566789627,0.1977093368768692,0.06458084285259247,0.149332657456398,0.7733103632926941
8,0.06623461097478867,0.12166085094213486,0.0527348592877388,0.11920452862977982,0.04767010733485222,0.12545394897460938,0.1666395664215088,0.5907487273216248,0.46683311462402344,0.11578596383333206,0.20146629214286804,0.06458084285259247,0.149332657456398,0.7711154818534851
9,0.05564000457525253,0.11155148595571518,0.046661194413900375,0.10922517627477646,0.0437808558344841,0.11766842007637024,0.1460820585489273,0.5907487273216248,0.46683311462402344,0.11508801579475403,0.21046753227710724,0.06458084285259247,0.149332657456398,0.7704175114631653
10,0.04728047922253609,0.1028364822268486,0.04171624034643173,0.102769635617733,0.040426190942525864,0.10953516513109207,0.12942291796207428,0.5907487273216248,0.46683311462402344,0.11773242801427841,0.21694022417068481,0.06458084285259247,0.149332657456398,0.773061990737915
11,0.04074687883257866,0.09551770240068436,0.037861164659261703,0.0957799181342125,0.03730039671063423,0.10269970446825027,0.1159084364771843,0.5907487273216248,0.46683311462402344,0.1212834045290947,0.22200670838356018,0.06458084285259247,0.149332657456398,0.7766129970550537
12,0.03507024049758911,0.08870791643857956,0.03385838493704796,0.09019377827644348,0.034090299159288406,0.09646311402320862,0.10301894694566727,0.5907487273216248,0.46683311462402344,0.12552835047245026,0.21799005568027496,0.06458084285259247,0.149332657456398,0.7808578610420227
13,0.031063413247466087,0.08353674411773682,0.03111387975513935,0.08603677153587341,0.031051723286509514,0.0908077210187912,0.0932290107011795,0.5907487273216248,0.46683311462402344,0.12614868581295013,0.2123951017856598,0.06458084285259247,0.149332657456398,0.781478226184845
14,0.027386145666241646,0.07857218384742737,0.028166962787508965,0.0819685235619545,0.028136111795902252,0.08493556827306747,0.08368922024965286,0.5907487273216248,0.46683311462402344,0.1257518082857132,0.20611244440078735,0.06458084285259247,0.149332657456398,0.7810813784599304
15,0.024400385096669197,0.07431857287883759,0.02582196705043316,0.07791256904602051,0.02534995600581169,0.0799204409122467,0.07557231932878494,0.5907359719276428,0.46682867407798767,0.12531079351902008,0.19608739018440247,0.06458084285259247,0.149332657456398,0.7806275486946106
16,0.022174358367919922,0.07098262757062912,0.024103322997689247,0.07524964958429337,0.02311636321246624,0.0757991150021553,0.06939404457807541,0.5906193852424622,0.4667856693267822,0.12522302567958832,0.19231002032756805,0.06457936018705368,0.14933077991008759,0.7804218530654907
17,0.019896306097507477,0.06734517216682434,0.021382274106144905,0.07092399150133133,0.020850444212555885,0.07149384915828705,0.06212901696562767,0.5899991393089294,0.4665474593639374,0.125170037150383,0.1933719962835312,0.06458573043346405,0.160857692360878,0.7797548770904541
18,0.018167339265346527,0.0644097551703453,0.019580146297812462,0.06777229905128479,0.01879897713661194,0.06753523647785187,0.05654645711183548,0.5883837938308716,0.46590182185173035,0.12506861984729767,0.2000521570444107,0.06105108931660652,0.1923104077577591,0.7745035290718079
19,0.016546541824936867,0.061514291912317276,0.01813429407775402,0.06511201709508896,0.016988584771752357,0.06381760537624359,0.051669418811798096,0.585641622543335,0.4647604525089264,0.1256810575723648,0.21435783803462982,0.05080091953277588,0.19575531780719757,0.7621235251426697
20,0.015390587039291859,0.05932844057679176,0.016851963475346565,0.0626092329621315,0.015451242215931416,0.06059974804520607,0.04769379273056984,0.5810829997062683,0.4628159999847412,0.12587226927280426,0.2177542895078659,0.041495077311992645,0.19021153450012207,0.7484503388404846
